country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Italy,Australia,83,86,2807,54,Alessandro Pajola,10:35,0,0/1,0/0,0/1,0/0,0,0,0,0,3,0,0,0,-3,-1
Australia,Italy,86,83,2807,4,Chris Goulding,03:08,0,0/3,0/1,0/2,0/0,1,0,1,0,0,0,0,0,-7,-2
Australia,Italy,86,83,2807,5,Patty Mills,35:44,16,6/17,4/8,2/9,2/2,1,5,6,5,1,2,1,0,11,15
Australia,Italy,86,83,2807,6,Josh Green,00:10,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Australia,Italy,86,83,2807,7,Joe Ingles,33:22,14,5/11,1/2,4/9,0/0,0,4,4,5,3,1,0,0,-4,16
Australia,Italy,86,83,2807,8,Matthew Dellavedova,22:53,2,0/3,0/1,0/2,2/2,0,1,1,3,3,1,0,0,5,2
Australia,Italy,86,83,2807,9,Nathan Sobey,01:39,0,0/2,0/1,0/1,0/0,0,1,1,0,1,0,0,0,-5,-1
Australia,Italy,86,83,2807,10,Matisse Thybulle,20:18,7,2/3,1/2,1/1,2/2,0,3,3,4,2,0,1,1,7,15
Australia,Italy,86,83,2807,11,Dante Exum,17:57,0,0/2,0/1,0/1,0/2,0,3,3,4,2,4,1,0,-1,0
Australia,Italy,86,83,2807,12,Aron Baynes,14:27,14,6/11,4/8,2/3,0/0,5,2,7,1,2,1,0,1,-8,17
Australia,Italy,86,83,2807,13,Jock  Landale,23:56,18,7/11,6/9,1/2,3/4,4,3,7,2,2,1,1,1,16,23
Australia,Italy,86,83,2807,14,Duop Thomas Reath,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Australia,Italy,86,83,2807,15,Nick Kay,26:26,15,6/7,5/6,1/1,2/2,4,3,7,2,2,0,0,1,1,24
Czech Republic,France,77,97,2807,1,Patrik Auda,22:54,14,5/10,5/9,0/1,4/8,2,0,2,0,3,3,0,0,-8,4
Czech Republic,France,77,97,2807,4,Tomas Vyoral,05:56,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-8,0
Czech Republic,France,77,97,2807,8,Tomas Satoransky,34:39,14,5/8,3/5,2/3,2/5,0,3,3,10,0,4,1,0,-19,18
Czech Republic,France,77,97,2807,11,Blake Schilb,15:59,0,0/4,0/2,0/2,0/0,0,1,1,2,0,0,1,0,-11,0
Czech Republic,France,77,97,2807,12,Ondrej Balvín,27:00,18,8/11,6/8,2/3,0/1,3,5,8,0,1,3,2,3,-17,24
Czech Republic,France,77,97,2807,13,Jakub Sirina,15:28,6,2/5,0/1,2/4,0/0,0,1,1,4,1,2,1,0,-5,7
Czech Republic,France,77,97,2807,15,Martin Peterka,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Czech Republic,France,77,97,2807,17,Jaromir Bohacik,23:07,0,0/3,0/1,0/2,0/0,0,1,1,1,3,0,2,0,-2,1
Czech Republic,France,77,97,2807,19,Ondrej Sehnal,06:35,0,0/0,0/0,0/0,0/0,1,0,1,1,1,0,0,0,4,2
Czech Republic,France,77,97,2807,23,Lukas Palyza,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Czech Republic,France,77,97,2807,24,Jan Vesely,32:11,19,9/12,9/12,0/0,1/2,1,4,5,3,1,4,4,0,-23,23
Czech Republic,France,77,97,2807,25,David Jelinek,16:11,6,2/5,0/3,2/2,0/0,0,2,2,3,1,0,0,0,-11,8
France,Czech Republic,97,77,2807,1,Frank Ntilikina,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
France,Czech Republic,97,77,2807,3,Timothé Luwawu-Cabarrot,21:12,9,2/6,0/0,2/6,3/3,1,0,1,2,4,1,3,0,6,10
France,Czech Republic,97,77,2807,4,Thomas  Heurtel,23:22,11,4/11,2/7,2/4,1/2,0,2,2,7,2,4,1,0,12,9
France,Czech Republic,97,77,2807,5,Nicolas Batum,26:34,9,4/6,3/3,1/3,0/0,1,4,5,2,1,0,1,0,5,15
France,Czech Republic,97,77,2807,7,Guerschon Yabusele,06:18,5,2/5,1/1,1/4,0/0,0,2,2,2,2,1,1,0,2,6
France,Czech Republic,97,77,2807,10,Evan Fournier,27:30,21,8/13,5/7,3/6,2/3,0,2,2,3,1,2,1,0,13,19
France,Czech Republic,97,77,2807,12,Nando De Colo,25:04,17,7/12,4/6,3/6,0/0,1,0,1,8,2,4,2,0,16,19
France,Czech Republic,97,77,2807,17,Vincent  Poirier,18:55,14,6/8,6/8,0/0,2/2,2,3,5,0,1,1,0,0,14,16
France,Czech Republic,97,77,2807,21,Andrew Albicy,13:32,0,0/0,0/0,0/0,0/0,0,1,1,1,0,0,0,0,17,2
France,Czech Republic,97,77,2807,27,Rudy Gobert,21:31,6,3/5,3/5,0/0,0/0,3,7,10,2,1,0,0,0,15,16
France,Czech Republic,97,77,2807,28,Petr Cornelie,05:02,3,1/1,0/0,1/1,0/0,1,0,1,0,2,0,0,0,-4,4
France,Czech Republic,97,77,2807,93,Moustapha Fall,11:00,2,1/1,1/1,0/0,0/0,0,2,2,0,3,1,0,0,4,3
Iran,France,62,79,3107,3,Mohammadsina Vahedi,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Iran,France,62,79,3107,5,Pujan Jalalpoor,18:51,0,0/5,0/4,0/1,0/0,0,1,1,0,1,2,0,0,-3,-6
Iran,France,62,79,3107,7,Mohammad Hassanzadeh,09:40,4,1/2,1/2,0/0,2/2,0,2,2,0,0,0,2,0,-7,7
Iran,France,62,79,3107,8,Saeid Davarpanah,13:35,5,2/4,1/1,1/3,0/0,0,2,2,1,2,4,0,0,0,2
Iran,France,62,79,3107,13,Mohammad Jamshidijafarabadi,11:49,2,0/3,0/3,0/0,2/2,0,0,0,4,0,1,0,1,-13,3
Iran,France,62,79,3107,14,Mohammadsamad Nik Khahbahrami,32:07,9,3/14,2/8,1/6,2/2,0,3,3,1,3,3,0,0,-7,-1
Iran,France,62,79,3107,15,Hamed Haddadi,37:39,18,5/14,4/12,1/2,7/9,2,10,12,5,3,3,2,3,-18,26
Iran,France,62,79,3107,17,Navid Rezaeifar,10:04,2,1/2,1/2,0/0,0/0,0,0,0,1,0,0,0,0,-10,2
Iran,France,62,79,3107,20,Michael Rostampour,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Iran,France,62,79,3107,23,Aaron Geramipoor,05:20,0,0/0,0/0,0/0,0/0,0,0,0,0,1,1,1,0,-6,0
Iran,France,62,79,3107,41,Arsalan Kazemi,27:21,11,5/7,5/7,0/0,1/4,4,4,8,2,3,0,3,0,-3,19
Iran,France,62,79,3107,88,Behnam Yakhchalidehkordi,33:34,11,4/10,1/4,3/6,0/0,0,1,1,3,2,1,0,0,-18,8
France,Iran,79,62,3107,1,Frank Ntilikina,18:54,3,1/3,0/1,1/2,0/0,0,2,2,4,2,1,1,0,9,7
France,Iran,79,62,3107,3,Timothé Luwawu-Cabarrot,24:41,12,5/8,4/5,1/3,1/1,0,5,5,3,2,0,2,0,12,19
France,Iran,79,62,3107,4,Thomas  Heurtel,14:42,16,7/9,5/6,2/3,0/0,0,3,3,0,0,0,0,0,12,17
France,Iran,79,62,3107,5,Nicolas Batum,17:28,9,2/5,0/1,2/4,3/4,1,1,2,1,0,1,0,0,4,7
France,Iran,79,62,3107,7,Guerschon Yabusele,19:11,5,2/8,1/4,1/4,0/0,0,5,5,1,2,5,0,1,1,1
France,Iran,79,62,3107,10,Evan Fournier,14:16,3,1/4,0/1,1/3,0/0,0,2,2,2,3,0,0,0,5,4
France,Iran,79,62,3107,12,Nando De Colo,14:48,10,4/4,4/4,0/0,2/2,0,5,5,5,2,1,1,0,7,20
France,Iran,79,62,3107,17,Vincent  Poirier,14:40,10,5/7,5/7,0/0,0/0,1,1,2,0,4,2,2,0,-1,10
France,Iran,79,62,3107,21,Andrew Albicy,15:57,0,0/1,0/1,0/0,0/0,0,0,0,2,1,4,1,0,3,-2
France,Iran,79,62,3107,27,Rudy Gobert,17:40,6,2/7,2/7,0/0,2/2,1,3,4,1,1,0,2,0,6,8
France,Iran,79,62,3107,28,Petr Cornelie,11:30,2,1/4,1/3,0/1,0/0,1,4,5,2,1,0,0,0,13,6
France,Iran,79,62,3107,93,Moustapha Fall,16:13,3,1/3,1/3,0/0,1/2,1,2,3,3,2,1,0,1,14,6
Italy,Nigeria,80,71,3107,0,Marco Spissu,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Italy,Nigeria,80,71,3107,1,Nico Mannion,16:17,14,4/12,3/7,1/5,5/5,1,3,4,1,0,0,1,0,4,12
Italy,Nigeria,80,71,3107,7,Stefano Tonut,26:37,10,4/8,4/6,0/2,2/2,0,2,2,1,2,2,2,0,6,9
Italy,Nigeria,80,71,3107,8,Danilo Gallinari,08:29,3,1/4,1/3,0/1,1/2,1,1,2,1,3,0,0,1,-6,3
Italy,Nigeria,80,71,3107,9,Nicolò Melli,26:27,15,6/12,5/8,1/4,2/2,1,4,5,1,4,2,1,0,13,14
Italy,Nigeria,80,71,3107,13,Simone Fontecchio,27:45,12,5/11,3/4,2/7,0/0,0,2,2,4,4,3,2,0,19,11
Italy,Nigeria,80,71,3107,16,Amedeo Tessitori,05:30,3,1/3,1/3,0/0,1/1,1,1,2,0,0,2,1,2,0,4
Italy,Nigeria,80,71,3107,17,Giampaolo Ricci,12:59,6,2/3,0/0,2/3,0/0,1,2,3,1,1,1,0,0,9,8
Italy,Nigeria,80,71,3107,24,Riccardo Moraschini,12:15,0,0/1,0/1,0/0,0/0,0,1,1,0,0,0,0,0,-10,0
Italy,Nigeria,80,71,3107,31,Michele Vitali,13:23,0,0/5,0/2,0/3,0/0,0,6,6,1,1,0,0,0,3,2
Italy,Nigeria,80,71,3107,33,Achille Polonara,25:12,13,5/8,3/4,2/4,1/1,3,2,5,2,2,1,0,0,-1,16
Italy,Nigeria,80,71,3107,54,Alessandro Pajola,25:06,4,0/3,0/1,0/2,4/6,1,2,3,4,1,0,1,0,8,7
Nigeria,Italy,71,80,3107,0,KZ Okpala,03:40,2,0/0,0/0,0/0,2/2,0,1,1,0,2,0,0,0,-5,3
Nigeria,Italy,71,80,3107,3,Caleb Agada,05:16,0,0/1,0/0,0/1,0/0,0,2,2,0,2,1,0,0,-1,0
Nigeria,Italy,71,80,3107,8,Ekpe Udoh,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Nigeria,Italy,71,80,3107,10,Chimezie Metu,31:33,22,7/11,1/4,6/7,2/2,1,9,10,3,0,2,3,0,8,32
Nigeria,Italy,71,80,3107,11,Obi Emegano,21:42,0,0/3,0/3,0/0,0/2,1,0,1,2,5,2,2,0,12,-2
Nigeria,Italy,71,80,3107,13,Miye Oni,21:11,3,1/8,0/2,1/6,0/0,0,2,2,2,2,0,0,1,-19,1
Nigeria,Italy,71,80,3107,15,Jahlil Okafor,20:17,14,7/8,7/8,0/0,0/0,3,5,8,0,1,4,0,0,-1,17
Nigeria,Italy,71,80,3107,20,Josh Okogie,07:41,2,0/0,0/0,0/0,2/2,0,1,1,0,1,3,0,0,-14,0
Nigeria,Italy,71,80,3107,22,Nnamdi Vincent,25:17,3,1/5,0/2,1/3,0/0,0,1,1,1,4,1,2,0,-23,2
Nigeria,Italy,71,80,3107,33,Jordan Nwora,34:20,20,7/17,4/10,3/7,3/5,1,3,4,0,2,2,0,0,2,10
Nigeria,Italy,71,80,3107,34,Ike Nwamu,11:40,0,0/5,0/1,0/4,0/0,0,1,1,2,2,2,0,0,4,-4
Nigeria,Italy,71,80,3107,55,Precious Achiuwa,17:23,5,2/4,2/4,0/0,1/2,2,4,6,1,1,2,0,1,-8,8
Australia,Germany,89,76,3107,4,Chris Goulding,07:39,3,1/3,0/0,1/3,0/0,0,1,1,0,1,0,0,0,1,2
Australia,Germany,89,76,3107,5,Patty Mills,32:53,24,9/23,4/8,5/15,1/1,0,1,1,6,0,3,0,0,10,14
Australia,Germany,89,76,3107,6,Josh Green,01:14,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-1,0
Australia,Germany,89,76,3107,7,Joe Ingles,26:57,6,2/8,0/2,2/6,0/0,1,4,5,3,2,2,3,0,11,9
Australia,Germany,89,76,3107,8,Matthew Dellavedova,15:38,2,1/4,1/2,0/2,0/0,0,1,1,1,3,1,1,0,-8,1
Australia,Germany,89,76,3107,9,Nathan Sobey,12:35,4,2/2,2/2,0/0,0/0,0,1,1,1,0,0,1,0,16,7
Australia,Germany,89,76,3107,10,Matisse Thybulle,19:41,4,2/3,2/2,0/1,0/0,1,1,2,1,4,0,4,0,-1,10
Australia,Germany,89,76,3107,11,Dante Exum,19:53,8,2/3,2/3,0/0,4/5,1,3,4,3,1,0,1,0,17,14
Australia,Germany,89,76,3107,12,Aron Baynes,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Australia,Germany,89,76,3107,13,Jock  Landale,24:46,18,7/10,5/8,2/2,2/2,1,2,3,3,3,0,0,1,12,22
Australia,Germany,89,76,3107,14,Duop Thomas Reath,07:33,4,2/4,2/3,0/1,0/0,0,1,1,0,0,0,2,0,-2,5
Australia,Germany,89,76,3107,15,Nick Kay,31:11,16,7/10,6/8,1/2,1/1,3,1,4,4,2,0,1,0,10,22
Germany,Australia,76,89,3107,0,Isaac Bonga,18:07,5,1/2,1/2,0/0,3/4,1,2,3,0,4,2,0,0,-13,4
Germany,Australia,76,89,3107,1,Joshiko Saibou,11:11,7,3/4,2/3,1/1,0/0,1,1,2,1,1,4,0,0,-8,5
Germany,Australia,76,89,3107,4,Maodo Lo,28:49,6,2/12,1/4,1/8,1/1,2,2,4,5,1,6,1,0,-5,0
Germany,Australia,76,89,3107,5,Niels Giffey,28:25,11,4/6,3/3,1/3,2/2,1,3,4,2,1,2,0,0,-3,13
Germany,Australia,76,89,3107,6,Jan Niklas Wimberg,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Germany,Australia,76,89,3107,7,Johannes Voigtmann,25:32,7,2/7,1/3,1/4,2/2,4,9,13,2,2,1,1,1,-5,18
Germany,Australia,76,89,3107,12,Robin Benzing,03:50,0,0/2,0/1,0/1,0/0,0,0,0,0,2,0,0,0,-3,-2
Germany,Australia,76,89,3107,13,Moritz Wagner,13:31,6,2/3,2/3,0/0,2/2,0,3,3,2,1,0,0,0,-9,10
Germany,Australia,76,89,3107,19,Lukas Wank,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Germany,Australia,76,89,3107,22,Danilo Barthel,13:13,6,2/3,1/2,1/1,1/1,0,3,3,1,2,1,0,0,-8,8
Germany,Australia,76,89,3107,32,Johannes Thiemann,26:03,11,4/8,3/5,1/3,2/2,5,4,9,0,2,0,1,1,-4,18
Germany,Australia,76,89,3107,42,Andreas Obst,31:19,17,6/16,1/4,5/12,0/0,0,0,0,1,1,2,0,0,-7,6
USA,Czech Republic,119,84,3107,4,Keldon Johnson,04:12,0,0/1,0/0,0/1,0/0,0,1,1,0,0,0,0,0,3,0
USA,Czech Republic,119,84,3107,5,Zach Lavine,20:16,13,5/7,2/2,3/5,0/0,1,1,2,5,0,0,1,0,27,19
USA,Czech Republic,119,84,3107,6,Damian  Lillard,26:39,8,3/10,1/2,2/8,0/0,0,3,3,3,3,0,1,0,11,8
USA,Czech Republic,119,84,3107,7,Kevin Durant,27:35,23,8/11,4/4,4/7,3/4,0,8,8,6,2,2,0,1,23,32
USA,Czech Republic,119,84,3107,8,Khris Middleton,22:46,8,3/6,1/2,2/4,0/0,1,3,4,3,1,0,1,0,29,13
USA,Czech Republic,119,84,3107,9,Jerami Grant,04:12,0,0/1,0/0,0/1,0/0,1,1,2,1,0,0,1,0,3,3
USA,Czech Republic,119,84,3107,10,Jayson  Tatum,23:58,27,10/16,5/6,5/10,2/3,0,2,2,1,1,2,0,2,32,23
USA,Czech Republic,119,84,3107,11,Javale McGee,04:12,10,4/4,4/4,0/0,2/3,1,0,1,0,0,0,0,0,3,10
USA,Czech Republic,119,84,3107,12,Jrue Holiday,20:31,11,5/7,4/5,1/2,0/0,1,2,3,2,0,2,3,1,5,16
USA,Czech Republic,119,84,3107,13,Bam Adebayo,20:44,6,3/4,3/4,0/0,0/0,1,2,3,1,2,0,1,0,19,10
USA,Czech Republic,119,84,3107,14,Draymond Green,15:04,8,3/3,1/1,2/2,0/0,0,4,4,2,3,1,0,0,13,13
USA,Czech Republic,119,84,3107,15,Devin Booker,09:51,5,1/3,0/1,1/2,2/2,0,1,1,0,5,3,0,1,7,2
Czech Republic,USA,84,119,3107,1,Patrik Auda,16:15,6,3/5,3/5,0/0,0/2,1,2,3,1,1,2,0,0,-25,4
Czech Republic,USA,84,119,3107,4,Tomas Vyoral,02:51,0,0/1,0/1,0/0,0/0,0,0,0,1,1,0,0,0,-4,0
Czech Republic,USA,84,119,3107,8,Tomas Satoransky,32:45,12,5/12,5/10,0/2,2/2,0,6,6,8,1,2,0,0,-19,17
Czech Republic,USA,84,119,3107,11,Blake Schilb,31:22,17,6/9,1/3,5/6,0/0,0,5,5,1,0,5,2,0,-30,17
Czech Republic,USA,84,119,3107,12,Ondrej Balvín,32:25,15,6/9,6/8,0/1,3/4,0,4,4,1,2,0,1,0,-28,17
Czech Republic,USA,84,119,3107,13,Jakub Sirina,01:27,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Czech Republic,USA,84,119,3107,15,Martin Peterka,02:06,0,0/0,0/0,0/0,0/0,0,1,1,0,0,1,0,0,0,0
Czech Republic,USA,84,119,3107,17,Jaromir Bohacik,18:11,2,1/4,1/4,0/0,0/1,1,3,4,1,3,0,1,0,0,4
Czech Republic,USA,84,119,3107,19,Ondrej Sehnal,11:35,5,2/5,1/1,1/4,0/0,1,0,1,0,3,1,1,0,-17,3
Czech Republic,USA,84,119,3107,23,Lukas Palyza,10:00,7,3/5,2/4,1/1,0/0,0,0,0,0,0,0,0,0,-13,5
Czech Republic,USA,84,119,3107,24,Jan Vesely,29:14,13,5/10,5/10,0/0,3/4,3,0,3,4,1,2,1,1,-17,14
Czech Republic,USA,84,119,3107,25,David Jelinek,11:49,7,3/8,2/4,1/4,0/0,0,0,0,0,2,0,0,0,-22,2
Argentina,Japan,97,77,108,4,Luís Scola,26:13,23,9/21,4/13,5/8,0/0,2,8,10,0,1,2,1,1,14,21
Argentina,Japan,97,77,108,7,Facundo Campazzo,25:39,17,5/11,0/2,5/9,2/3,0,7,7,11,2,3,0,0,16,25
Argentina,Japan,97,77,108,8,Nicolás Laprovittola,28:53,4,0/8,0/0,0/8,4/4,0,3,3,6,2,2,1,0,6,4
Argentina,Japan,97,77,108,9,Nicolas Brussino,29:51,8,3/8,1/3,2/5,0/0,1,6,7,3,1,0,0,0,13,13
Argentina,Japan,97,77,108,10,Leandro Bolmaro,08:23,4,2/3,2/3,0/0,0/0,1,0,1,0,1,1,3,0,2,6
Argentina,Japan,97,77,108,11,Francisco Caffaro,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Argentina,Japan,97,77,108,12,Marcos Delia,23:26,14,6/9,6/9,0/0,2/2,5,2,7,0,2,1,1,1,15,19
Argentina,Japan,97,77,108,14,Gabriel Deck,23:29,16,7/10,6/8,1/2,1/1,2,2,4,3,2,1,1,1,15,21
Argentina,Japan,97,77,108,17,Luca Vildoza,25:28,7,2/6,1/2,1/4,2/2,0,2,2,4,2,0,1,0,18,10
Argentina,Japan,97,77,108,22,Juan Pablo Vaulet,05:44,4,2/3,2/3,0/0,0/0,1,0,1,0,1,1,0,0,3,3
Argentina,Japan,97,77,108,29,Patricio Garino,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Argentina,Japan,97,77,108,83,Tayavek Gallizzi,02:54,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-2,0
Japan,Argentina,77,97,108,2,Yuki Togashi,25:16,3,1/5,0/2,1/3,0/0,0,2,2,3,2,1,0,0,-11,3
Japan,Argentina,77,97,108,6,Makoto Hiejima,25:07,13,6/12,5/7,1/5,0/0,1,1,2,3,1,1,0,2,-21,13
Japan,Argentina,77,97,108,8,Rui Hachimura,39:11,13,6/17,5/13,1/4,0/0,2,9,11,2,1,4,0,1,-23,12
Japan,Argentina,77,97,108,9,Leo Vendrame,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Japan,Argentina,77,97,108,12,Yuta Watanabe,34:39,17,7/14,7/10,0/4,3/3,2,7,9,1,2,3,0,1,-15,18
Japan,Argentina,77,97,108,14,Kosuke Kanamaru,05:33,0,0/3,0/1,0/2,0/0,1,0,1,0,1,0,1,0,6,-1
Japan,Argentina,77,97,108,18,Yudai Baba,33:50,18,8/12,6/9,2/3,0/0,3,4,7,3,1,2,1,0,-19,23
Japan,Argentina,77,97,108,23,Gavin Earl Edwards,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Japan,Argentina,77,97,108,24,Daiki Tanaka,21:38,10,4/9,4/5,0/4,2/2,0,3,3,3,3,0,1,0,-14,12
Japan,Argentina,77,97,108,32,Avi Koki Schafer,02:04,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Japan,Argentina,77,97,108,34,Hugh Watanabe,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Japan,Argentina,77,97,108,88,Tenketsu Harimoto,12:42,3,1/6,0/5,1/1,0/0,0,1,1,1,2,2,0,0,-3,-2
Spain,Slovenia,87,95,108,3,Xabi Lopez-Arostegui,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Spain,Slovenia,87,95,108,4,Pau Gasol,14:47,8,2/6,0/4,2/2,2/2,2,2,4,1,0,1,0,1,-7,9
Spain,Slovenia,87,95,108,5,Rudy Fernandez,27:02,12,4/9,0/0,4/9,0/0,1,4,5,1,5,0,2,0,-5,15
Spain,Slovenia,87,95,108,6,Sergio Rodriguez,15:55,5,1/6,0/0,1/6,2/2,0,2,2,5,1,2,0,0,-4,5
Spain,Slovenia,87,95,108,9,Ricky Rubio,24:05,18,7/23,6/15,1/8,3/4,1,2,3,9,3,1,1,0,-4,13
Spain,Slovenia,87,95,108,10,Victor Claver,24:29,4,2/5,2/3,0/2,0/0,3,3,6,1,4,1,0,0,-1,7
Spain,Slovenia,87,95,108,13,Marc Gasol,25:13,9,3/8,2/5,1/3,2/4,0,6,6,4,0,0,0,0,-1,12
Spain,Slovenia,87,95,108,14,Willy Hernangomez,07:52,2,1/3,1/2,0/1,0/0,1,2,3,0,0,1,0,0,-1,2
Spain,Slovenia,87,95,108,16,Usman Garuba,07:16,0,0/0,0/0,0/0,0/0,0,1,1,0,2,0,0,0,-1,1
Spain,Slovenia,87,95,108,20,Alberto Abalde,27:20,14,4/8,0/1,4/7,2/2,1,3,4,1,3,0,3,0,4,18
Spain,Slovenia,87,95,108,21,Alex Abrines,06:50,3,1/2,0/0,1/2,0/0,0,2,2,1,4,0,1,0,-13,6
Spain,Slovenia,87,95,108,23,Sergio Llull,19:11,12,4/7,2/3,2/4,2/2,0,0,0,1,1,2,0,0,-7,8
Slovenia,Spain,95,87,108,5,Luka Rupnik,02:37,0,0/2,0/1,0/1,0/0,1,1,2,0,1,0,0,0,-5,0
Slovenia,Spain,95,87,108,6,Aleksej Nikolic,07:55,0,0/4,0/1,0/3,0/0,0,0,0,2,1,0,1,0,11,-1
Slovenia,Spain,95,87,108,7,Klemen Prepelic,25:28,15,2/7,0/2,2/5,9/10,1,1,2,3,1,1,2,0,16,15
Slovenia,Spain,95,87,108,8,Edo Murić,11:17,8,3/6,1/2,2/4,0/0,0,2,2,1,1,1,1,0,5,8
Slovenia,Spain,95,87,108,10,Mike Tobey,32:40,16,7/12,7/12,0/0,2/2,3,11,14,3,4,2,0,0,-4,26
Slovenia,Spain,95,87,108,11,Jaka Blažič,26:36,10,4/15,2/5,2/10,0/0,1,3,4,2,2,0,1,1,-10,7
Slovenia,Spain,95,87,108,15,Gregor Hrovat,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Slovenia,Spain,95,87,108,27,Žiga Dimec,07:05,6,3/4,3/4,0/0,0/0,2,3,5,1,1,0,0,0,7,11
Slovenia,Spain,95,87,108,30,Zoran Dragic,23:29,6,2/5,2/2,0/3,2/2,1,1,2,3,3,0,0,0,1,8
Slovenia,Spain,95,87,108,31,Vlatko Cancar,28:58,22,8/12,4/5,4/7,2/2,1,1,2,1,2,1,0,1,8,21
Slovenia,Spain,95,87,108,55,Jakob Cebasek,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Slovenia,Spain,95,87,108,77,Luka Doncic,33:55,12,2/7,0/2,2/5,6/11,2,12,14,9,3,5,1,0,11,21
